id;oblast;raion;hromada;settlement
531804393;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804416;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804436;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804466;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532147885;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532147934;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532147969;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148005;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148043;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148089;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148118;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148143;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148175;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148199;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148222;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148246;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148258;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148292;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148347;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148375;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148404;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148422;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148445;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148488;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148507;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532148539;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532151522;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159615;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159631;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159643;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159661;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159672;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159684;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159700;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159711;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159726;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159742;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159755;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159777;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159795;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159816;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159845;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159874;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159899;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532159920;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168789;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168808;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168828;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168843;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168854;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168877;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168898;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168923;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168947;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168967;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532168982;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169001;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169026;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169052;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169061;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169075;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169089;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169103;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532169110;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452126;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452144;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452174;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452200;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452231;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532452244;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461009;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461050;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461085;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461130;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461186;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532461224;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532529814;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532529867;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532529920;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532529962;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532529998;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
532765813;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765834;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765848;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765867;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765871;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765880;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765883;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765890;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765895;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
532765903;Kharkivska;Kupianskyi;Shevchenkivska;Semenivka_Семенівка
